M_id;T_id;Price_d3
108202;349469;62,94
7968;329342;26,15
227610;467448;219,57
81467;340890;44,9
33065;335504;238,78
298100;561035;40,11
301752;561033;40,2
76130;333310;41,95
167016;453053;72,18
175989;554035;76,08
175990;554042;228,59
60164;364615;25,46
55894;335340;97,34
134422;359623;351,55
108587;329420;24,44
30883;337655;166
109181;330490;67,52
314746;535550;120,19
109182;355978;67,28
389775;581833;85,98
50633;346329;15,56
155291;410743;503,75
45766;328035;12,66
90300;351411;57,94
165709;326359;114,77
12300;326508;75,06
64439;362069;30,84
25476;326391;35,13
25477;470688;54,54
99308;327068;178,54
153529;527477;19,62
153531;528930;48,05
98514;408584;63,88
137687;410835;16,09
145714;437883;13,91
103455;431203;27,01
107572;333646;324,55
5106;328228;11,13
44026;431434;9,89
13747;354173;21,56
12118;327319;123,15
194445;468783;108,76
194444;467703;113,98
287745;563118;206,07
28252;326365;207,56
28253;355023;413,7
18730;328506;241,5
47981;348893;17,3
13966;330521;109,27
13967;327565;177,36
82974;338019;44,36
3903;336964;198,79
64259;329978;11,09
11724;326579;132,35
165713;533082;5,36
95425;348687;128,91
56114;329743;36,08
129161;437633;49,05
8975;331233;256,81
5799;563836;10,99
79643;336013;235,61
50250;329195;49,45
9945;358350;108,92
188375;462082;100,66
8911;335277;10,64
191063;353405;15,83
5835;347794;117,88
140299;573201;115
21839;331603;41,07
226026;468831;160,87
99452;352516;256,27
170571;431874;49,66
169533;432207;343,13
32485;327203;60,81
8428;335262;76,69
56019;329818;27,33
129224;439060;141,78
62920;327089;104,34
65743;327848;104,15
75105;336592;105,19
75766;331046;27,69
108402;353413;48,75
108403;353414;102,18
107309;354649;74,29
62992;369728;11,69
43860;361805;437,53
33053;327968;10,96
145665;431522;71,78
107615;336293;21,43
4267;328493;62,21
112941;359193;293,1
99152;348151;99,7
48812;334214;207,54
95141;426092;307,21
92178;346101;355,54
27418;326340;13,84
136598;410828;32,63
180387;463243;49,06
62646;328033;43,03
190230;331082;40,61
134114;358175;32,56
7188;327581;2,2
71099;332347;36,67
71293;333225;50,09
112233;407411;12,9
156705;328789;47,46
18708;328960;150,74
80069;331967;132,87
19110;331394;94,85
94694;358739;115,59
66436;329431;56,4
11375;332904;82,29
285423;498724;111,28
110517;327187;119
99300;327920;94,36
110750;327817;86,59
99302;326344;112,27
10811;329552;68,7
83293;330090;68,47
81771;335184;93,52
236840;528918;254,13
63170;334975;268,22
53309;356016;204,32
97125;529540;43,58
82888;335575;36,92
149266;465268;66,96
112132;356908;177,58
141075;360054;77,1
135958;333436;126,79
75801;330553;96,85
110103;329900;399,01
51209;330208;254,02
83309;326676;257,98
5248;327647;708,28
97127;345654;87,92
97128;345653;149,16
45718;329469;39,9
389662;573207;150,1
109103;328138;148,44
6371;327946;37,01
11365;350342;82,72
5320;328291;136,69
175764;496461;78,99
32043;353781;60,68
137469;439166;77,64
32041;350745;58,85
19209;327806;166,16
103260;355083;141,6
201852;467040;52,13
296701;564046;37,26
82892;350252;187,43
4376;349232;41,38
12680;328362;49,6
55966;345028;113,25
103439;330455;57,27
156975;426026;141,12
114638;359758;93,03
24124;329988;104,02
223337;327982;30,89
222136;327268;30,93
200612;332816;31,24
223532;327984;31,25
223538;327983;31,45
223544;349728;31,91
223527;349729;31,5
147328;425705;53,53
56211;347824;37,85
71997;336568;18,78
54287;330773;35,78
41397;330161;7,5
193845;567297;20,29
5260;351110;84,55
108640;357237;47,28
170774;329660;148,69
66925;338425;155,24
19208;327807;122,59
145707;438015;138,51
171151;439800;75,49
49724;346259;143,63
309184;526421;176,02
5397;336452;155,21
10759;326306;150,52
41633;336709;42,47
174154;468152;79,14
329974;530002;34,83
289662;554034;28,57
127623;327413;94,15
127622;328226;38,88
88615;348536;49,98
25870;328292;20,66
62935;332754;111,98
13490;327616;5,8
134982;559993;96,24
327234;569290;20,75
136863;416894;104,68
117752;326432;61,88
114671;340589;72,09
12156;327080;140,52
177870;559153;45,8
69640;331307;274,27
31553;328797;182,47
36212;332138;28,06
108583;416874;12,23
6122;326880;12,89
82443;530846;9,12
33749;354029;50,41
200616;466438;83,55
128560;428199;73,56
38242;327662;13,93
169053;439252;153,15
23086;337930;8,2
102759;327824;74,82
129473;357044;26,46
4208;337931;88,63
101751;355806;89,2
394022;572801;32,29
394023;572807;101,03
3946;335589;165,84
127601;359100;271,65
174098;568166;15,37
92188;436181;105,33
61616;331060;57,85
62326;346961;46,73
140653;348265;57,44
134936;327447;57,88
134937;326767;112,64
69925;337959;15,37
125387;467175;45,26
23168;329499;166,4
301753;561034;48,55
349481;561036;50,6
55120;351530;37,1
150688;428256;59,39
61806;336384;25,83
3722;331486;100,29
136929;359613;153,89
111468;452024;59,51
350492;562202;82,24
99353;336530;82,55
295153;524394;48,65
54974;337075;29,68
