M_id;T_id;Price_2.2
225433;465464;336,94
81258;394490;нет
89910;467165;153,1
237883;575383;36,49
96936;386811;нет
48414;354109;нет
116951;403449;нет
116943;403447;нет
116945;402874;нет
116953;402875;нет
48413;355158;нет
107753;351447;нет
167222;425943;184,87
196772;376983;214,65
196771;474340;162,29
127215;357672;нет
198721;469523;нет
198722;469522;нет
372279;558923;23,49
161198;572787;нет
198724;469519;нет
198723;469520;нет
198727;469521;нет
198725;469516;нет
287739;486960;нет
237479;580880;32,31
38996;329791;нет
30080;328418;нет
128381;432224;нет
169365;358787;нет
110595;400262;нет
397212;573671;130,35
303684;514068;нет
44663;367795;нет
59435;331322;нет
139552;358763;нет
139553;358764;158,18
169316;432273;121,78
108070;425920;нет
108066;425921;нет
291784;466713;нет
101391;561083;нет
137290;360062;нет
137287;357986;нет
137291;359938;нет
137807;331646;нет
129749;356630;нет
129714;356631;нет
137288;330821;нет
75510;350254;нет
47274;374654;нет
309733;526399;нет
4880;413628;104,57
155472;572826;68,59
56773;370496;нет
132110;331567;107,61
43706;365063;нет
342881;557125;89,51
136474;358482;нет
85578;327499;нет
73485;327502;нет
108511;348695;нет
88000;363415;нет
237873;570007;9,58
237877;576761;17,83
237875;570005;12,05
237884;578732;21,56
96934;326955;нет
52629;329708;нет
60072;369640;нет
96947;370028;нет
89214;370626;нет
89216;370628;нет
89215;370627;нет
178410;464800;90,56
28963;351785;нет
81013;364804;нет
89151;575926;нет
62453;575868;3,05
55010;364417;нет
62453;362680;3,05
97492;330644;нет
384019;567849;нет
233254;467085;нет
88945;371611;нет
120851;357540;69,97
69366;334387;нет
85144;575986;22,02
179567;576734;нет
100753;369339;нет
78067;369106;151,96
55924;371626;нет
85225;364955;нет
129558;327918;нет
47888;369823;22,19
169780;575566;нет
229175;487089;нет
229176;470115;нет
229177;487091;нет
304649;568305;нет
135050;405502;нет
342103;562420;нет
91688;371313;нет
181021;456294;нет
374909;576571;нет
70815;327348;нет
73641;371538;нет
332263;561010;нет
80810;364176;11,68
80811;373622;22,65
61188;328243;112,77
274078;576277;нет
258554;565022;нет
62332;362099;нет
62333;366456;нет
84514;363604;нет
245030;475284;нет
129754;576949;5,43
85744;353200;нет
186954;559092;нет
68572;468767;нет
237590;473683;6,16
125834;357635;нет
2;528993;нет
200365;467263;нет
230053;555458;84,51
68275;386240;нет
70451;362797;нет
135052;405506;нет
124804;359725;нет
144163;359724;207,52
26552;329493;нет
27090;329066;нет
95058;338939;нет
95057;339583;нет
193424;462910;нет
234730;467228;нет
290291;574046;нет
293357;438147;98,4
85226;364956;нет
87066;373642;нет
308996;568044;нет
84492;363605;нет
72361;353775;нет
72361;333567;нет
75972;369668;нет
75972;369669;нет
75974;364870;нет
75975;364871;нет
76021;363499;нет
76022;363500;нет
76023;363501;нет
76024;384511;нет
75980;363502;нет
75981;363503;нет
75982;363504;нет
75983;364663;нет
75987;364447;нет
75984;405279;нет
75985;364662;нет
75986;369178;нет
37259;394370;нет
64159;398058;нет
64158;394642;нет
167234;576060;нет
70486;390193;нет
111371;577281;нет
109430;388017;нет
78856;369740;нет
82062;366511;нет
240765;363680;нет
75230;368714;нет
75229;368715;нет
391909;568451;78,39
74793;337270;53,79
148422;412640;61,84
148417;438506;52,97
115327;403409;нет
81282;336767;93,8
374318;564374;30,48
66310;370392;нет
103156;499382;160,7
162742;574054;376,49
179749;439018;нет
233102;467265;нет
247642;487084;нет
98913;394643;нет
179186;438208;123,85
179397;438673;нет
58408;366360;нет
58408;332332;нет
58409;330940;нет
58406;364374;нет
58406;332292;нет
58407;330628;нет
227172;466665;нет
227173;466667;нет
227168;466666;нет
227171;466664;нет
227164;466663;нет
227166;466662;нет
295518;568512;нет
70485;398739;нет
94288;348168;нет
172585;468717;нет
70168;365911;нет
380122;564566;35,99
54912;331118;нет
196822;564421;нет
196825;564424;нет
196824;564422;нет
196823;564423;26,68
129066;355420;нет
68604;371481;нет
289616;496465;нет
289618;496466;нет
380176;573612;нет
380062;570224;нет
380177;563139;нет
390906;564546;нет
148314;467124;226,95
191780;467126;нет
122912;467125;81,51
69713;366163;нет
183526;459514;114,22
394779;580481;нет
140874;575639;нет
159518;356055;нет
58721;362361;нет
58721;362362;нет
